Date,High,Low,Open,Close,Volume,Adj Close
06/08/2019,1179.959961,1160,1163.310059,1169.949951,1709400,1169.949951
07/08/2019,1178.444946,1149.624023,1156,1173.98999,1444300,1173.98999
08/08/2019,1205.01001,1173.02002,1182.829956,1204.800049,1468000,1204.800049
09/08/2019,1203.880005,1183.603027,1197.98999,1188.01001,1065700,1188.01001
12/08/2019,1184.959961,1167.671997,1179.209961,1174.709961,1003000,1174.709961
13/08/2019,1204.780029,1171.459961,1171.459961,1197.27002,1294400,1197.27002
14/08/2019,1182.300049,1160.540039,1176.310059,1164.290039,1578700,1164.290039
15/08/2019,1175.839966,1162.109985,1163.5,1167.26001,1218700,1167.26001
16/08/2019,1182.719971,1171.810059,1179.550049,1177.599976,1313300,1177.599976
19/08/2019,1206.98999,1190.089966,1190.089966,1198.449951,1231600,1198.449951
20/08/2019,1196.060059,1182.109985,1195.25,1182.689941,915500,1182.689941
21/08/2019,1199,1187.430054,1193.150024,1191.25,740700,1191.25
22/08/2019,1198.011963,1178.579956,1194.069946,1189.530029,947500,1189.530029
23/08/2019,1194.079956,1147.75,1181.98999,1151.290039,1687000,1151.290039
26/08/2019,1169.469971,1152.959961,1157.26001,1168.890015,1226100,1168.890015
27/08/2019,1182.400024,1161.449951,1180.530029,1167.839966,1077200,1167.839966
28/08/2019,1176.420044,1157.300049,1161.709961,1171.02002,802000,1171.02002
29/08/2019,1196.060059,1181.119995,1181.119995,1192.849976,1088400,1192.849976
30/08/2019,1198.5,1183.802979,1198.5,1188.099976,1129800,1188.099976
03/09/2019,1186.890015,1163.199951,1177.030029,1168.390015,1479900,1168.390015
04/09/2019,1183.47998,1171,1176.709961,1181.410034,1068900,1181.410034
05/09/2019,1213.040039,1191.530029,1191.530029,1211.380005,1408100,1211.380005
06/09/2019,1212.015015,1202.521973,1208.130005,1204.930054,1072100,1204.930054
09/09/2019,1220,1192.619995,1204,1204.410034,1471900,1204.410034
10/09/2019,1210,1194.579956,1195.150024,1206,1260100,1206
11/09/2019,1222.599976,1202.199951,1203.410034,1220.170044,1307000,1220.170044
12/09/2019,1241.859985,1223.02002,1224.300049,1234.25,1725900,1234.25
13/09/2019,1240.880005,1227.01001,1231.349976,1239.560059,1301400,1239.560059
16/09/2019,1239.560059,1225.609985,1229.52002,1231.300049,1053300,1231.300049
17/09/2019,1235,1223.689941,1230.400024,1229.150024,955100,1229.150024
18/09/2019,1235.609985,1216.530029,1227.51001,1232.410034,1135100,1232.410034
19/09/2019,1244.439941,1232.02002,1232.060059,1238.709961,996000,1238.709961
20/09/2019,1243.319946,1223.079956,1233.119995,1229.930054,2270000,1229.930054
23/09/2019,1239.089966,1224.170044,1226,1234.030029,1062400,1234.030029
24/09/2019,1246.73999,1210.680054,1240,1218.76001,1583200,1218.76001
25/09/2019,1248.300049,1210.089966,1215.819946,1246.52002,1453000,1246.52002
26/09/2019,1245,1232.267944,1241.959961,1241.390015,1538000,1241.390015
27/09/2019,1244.02002,1214.449951,1243.01001,1225.089966,1353900,1225.089966
30/09/2019,1226,1212.300049,1220.969971,1219,1404100,1219
01/10/2019,1231.22998,1203.579956,1219,1205.099976,1273500,1205.099976
02/10/2019,1196.97998,1171.290039,1196.97998,1176.630005,1615100,1176.630005
03/10/2019,1189.060059,1162.430054,1180,1187.829956,1621200,1187.829956
